SIGUN_CD,SIGUN_NM,CITYTOUR_COURSE,CITYTOUR_COURSE_INFO,addr,latitude,longitude
경기도,가평군,가평시티투어,가평터미널,경기 가평군 가평읍 가화로 51,37.8245457,127.5154443
경기도,가평군,가평시티투어,가평레일바이크,경기 가평군 가평읍 장터길 14,37.8293425,127.5154088
경기도,가평군,가평시티투어,자라섬,경기 가평군 가평읍 달전리 1-1,37.8103988,127.5353889
경기도,가평군,가평시티투어,가평역,경기 가평군 가평읍 달전리 603-29,37.8146909,127.5120901
경기도,가평군,가평시티투어,남이섬,강원 춘천시 남사면 남이섬길1,37.7899352,127.5258072
경기도,가평군,가평시티투어,인터렉티브아트무지엄,경기 가평군 가평읍 호반로 1655,37.743524,127.5106298
경기도,가평군,가평시티투어,쁘띠프랑스,경기 가평군 청평면 호반로 1063,37.7148921,127.4903236
경기도,가평군,가평시티투어,청평터미널,경기 가평군 청평면 청평중앙로 54 청평공용버스터미널,37.7380449,127.4206235
경기도,가평군,가평시티투어,아침고요수목원,경기 가평군 상면 수목원로 432,37.7439678,127.3524864
경기도,여주시,여주시티투어,여주역,경기 여주시 교동로 80 여주역,37.282114,127.628592
경기도,여주시,여주시티투어,세종대왕릉,경기 여주시 능서면 왕대리 901-3,37.3128623,127.6121324
경기도,여주시,여주시티투어,명성황후생가,경기 여주시 명성로 71,37.2593607,127.6561875
경기도,여주시,여주시티투어,여주아울렛,경기 여주시 명품로 360,37.2413127,127.6125556
경기도,파주시,파주시티투어,홍대입구역,서울 마포구 양화로 160 홍대입구역,37.5567292,126.9236419
경기도,파주시,파주시티투어,운정역,경기 파주시 운정역길 368,37.7254044,126.7668608
경기도,파주시,파주시티투어,임진강황포돛배,경기 파주시 적성명 율곡로 1857,37.9651427,126.8912933
경기도,파주시,파주시티투어,감악산출렁다리,경기 파주시 적성명 설마천로 238,37.9378457,126.9469804
경기도,파주시,파주시티투어,율곡수목원,경기 파주시 파평면 장승배기로 392,37.8912866,126.8189193
