SIGNGU_NM,CITYTOUR_COURSE_NM,CITYTOUR_COURSE_INFO,주소,위도,경도
가평군,가평순환버스A코스,가평터미널,경기 가평군 가평읍 가화로 51,37.8245457,127.5154443
,,가평레일바이크,경기 가평군 가평읍 장터길 14,37.8293425,127.5154088
,,자라섬,경기 가평군 가평읍 달전리 1-1,37.8103988,127.5353889
,,가평역,경기 가평군 가평읍 달전리 603-29,37.8146909,127.5120901
,,남이섬,강원 춘천시 남산면 남이섬길 1,37.7899352,127.5258072
,,인터렉티브아트뮤지엄,경기 가평군 가평읍 호반로 1655,37.743524,127.5106298
,,쁘띠프랑스,경기 가평군 청평면 호반로 1063,37.7148921,127.4903236
,,청평터미널,경기 가평군 청평면 청평중앙로 54 청평공용버스터미널,37.7380449,127.4206235
,,아침고요수목원,경기 가평군 상면 수목원로 432,37.7439678,127.3524864
,가평순환B코스,가평터미널,경기 가평군 가평읍 가화로 51,37.8245457,127.5154443
,,가평역,경기 가평군 가평읍 달전리 603-29,37.8146909,127.5120901
,,남이섬,강원 춘천시 남산면 남이섬길 1,37.7899352,127.5258072
,,인터렉티브아트뮤지엄,경기 가평군 가평읍 호반로 1655,37.743524,127.5106298
,,설악터미널,경기 가평군 설악면 신천리 574-4,37.6774176,127.4876087
,,스위스마을,경기 가평군 설악면 다락재로 226-57,37.6666914,127.4476706
,,청평터미널,경기 가평군 청평면 청평중앙로 54 청평공용버스터미널,37.7380449,127.4206235
,,청평역,경기 가평군 청평면 청평역로 97-33,37.735423,127.4267127
,,아침고요 수목원,경기 가평군 상면 수목원로 432,37.7439678,127.3524864
안산시,안산시티버스(안산출발),중앙역,경기 안산시 단원구 중앙대로 918 중앙역,37.316055,126.838532
,,시화호조력발전소,경기 안산시 단원구 대부동동,37.251758,126.6136994
,,대부해솔길 1코스,경기 안산시 단원구 대부북동 산45-6,37.258289,126.5731267
,,탄도바닷길,경기 안산시 단원구 선감동 717-5,37.1924384,126.6461002
,안산시티버스(서울출발),광화문역,서울 종로구 세종대로 172,37.571619,126.976754
,,시화호조력발전소,경기도 안산시 단원구 대부황금로 1927,37.3122099,126.6103114
,,대부해솔길 1코스,경기도 안산시 단원구 대부북동 1848-374,37.2895734,126.5781966
,,탄도바닷길,경기 안산시 단원구 선감동 717-5,37.1924384,126.6461002
여주시,여주관광순환버스,여주역,경기 여주시 교동로 80 여주역,37.282114,127.628592
,,세종대왕릉,경기 여주시 능서면 왕대리 901-3,37.3128623,127.6121324
,,여주5일장,경기 여주시 여흥로57번길 20,37.298897,127.6316221
,,신륵사,경기 여주시 신륵사길 73,37.2975365,127.6615306
,,목아박물관,경기 여주시 강천면 이문안길 21 학예 연구실,37.2885552,127.6881478
,,강천보,경기 여주시 신단1길 137,37.2737999,127.6828684
,,금은모래유원지,경기 여주시 강변유원지길 105 리버스랜드,37.2934139,127.6661604
,,황학산수목원,경기 여주시 황학산수목원길 73,37.2784958,127.6493943
,,명성황후생가,경기 여주시 명성로 71,37.2593607,127.6561875
,,여주아울렛,경기 여주시 명품로 360,37.2413127,127.6125556
,,여주역,경기 여주시 교동로 80 여주역,37.282114,127.628592
파주시,파주시티투어,홍대입구역,서울 마포구 양화로 160 홍대입구역,37.5567292,126.9236419
,,운정역,경기 파주시 운정역길 368,37.7254044,126.7668608
,,임진강황포돛배,경기 파주시 적성면 율곡로 1857,37.9651427,126.8912933
,,감악산출렁다리,경기 파주시 적성면 설마천로 238,37.9378457,126.9469804
,,율곡수목원,경기 파주시 파평면 장승배기로 392,37.8912866,126.8189193
광명시,1노선,광명역,경기 광명시 광명역로 21,37.4165133,126.8849516
,,이케아,경기 광명시 일직로 17 IKEA광명점,37.4191564,126.8947399
,,기형도문학관,경기 광명시 오리로 268,37.4522833,126.8700011
,,충현박물관,경기 광명시 오리로347번길 5-5,37.4332989,126.8783739
,,광명동굴,경기 광명시 가학로85번길 142,37.4251755,126.8644482
,,광명전통시장,경기 광명시 광이로13번길 17-5,37.4800807,126.8562359
,,철산역,경기 광명시 철산로 13 철산역,37.4769832,126.8677778
